#word,meaning,option1,option2,option3
重新点燃,rekindle,saucer,jerk,emancipate
(人)生机,verve,verb,serve,leave
打趣,banter,batter,banner,canter
离题,excursive,intend,special-purpose trip,need not
畏缩,cringe,bring,bridge,fringe
减弱,relent,take a turn for the better,soften,loosen
支流(的),tributary,prima,postpaid,seedsman
实际,pragmatic,finally,unavoidable,actually
人工制品,artifact,mortar,depository,fuzz
遣散(军人),demobilize,demoralize,mobilize,deoxidation
镇压,quash,deprive,to operate on or to be operated on,pardon
一夫多妻制,polygamy,edify,womanish,reconcile
无礼,outrageous,courageous,opening ceremony,etiquette
集合,assemble,assembler,assembly,resemble
愤世嫉俗者,cynic,petal,vehicular,skylark
不适,malaise,be ill,disturbed,deathly ill
倾向于,inclined,trust,can,love and esteem
报酬,remunerate,recuperate,salary,royalty 
专横,arbitrary,arbitrate,arbitrage,just and fair
平凡,quotidian,very difficult ,high level,supreme
瘦削,lank,balk,monk,hawk
使免疫,immunize,immune,immunity,rather
面貌丑恶的人,gargoyle,bump,primeval,lumpy
偶像崇拜,idolatry,idolater,concerto,privileged
反对,oppose,repose,impose,suppose
小战,skirmish,skittish,vehement,lassitude
多汁,succulent,appear,earful,nursery
狡猾,subtlety,turn ,forthcoming,cruel
清真寺的尖塔,minaret,wildcat,apply,lower
吹毛求疵,fastidiousness,engage in,create difficulties,to make fun of
利用,utilize,utility,use on,distinguish
娱乐,recreation,reception,secretion,recitation
相互作用(影响),interaction,listless,dot,northern
代替,replacement,nominate,advisory,quote
好斗,pugnacious,fault,a move,action
骚乱,rambunctious,stability,cold,decay
一妻多夫制,polyandry,peacetime,pressure,peacock
簧片,reed,strap,gear,valve
吹牛者,braggart,garret,threadbare,niggard
极蠢,lunatic,fanatic,mask,tent
妨碍,retard,reward,regard,retain
优柔寡断,irresolute,have no alternative but to,too far away for one to be able to help,calm
扩大,escalate,escapade,escalator,excavate
挂名差事,sinecure,team leader,Secretary of State,future  prospects
地窖,vault,caulk,fault,vast
欢乐,hilarity,mixed feelings of grief and joy,kneel,to the satisfaction of everyone
无判断力,disoriented,seesaw,emotion,headhunter
禁绝(尤指食物或酒),abstinence,stature,kindness,bead
纪念碑的,monumental,monument,lingerie,clog
三叉鱼叉,trident,prudent,trisect,rodent
给人印象不深的,unimpressive,high-ranking,very difficult ,center
有帮助的,instrumental,petite,scout,dunce
差使,errand,arrant,grand,brand
蒸发,evaporation,singe,melt,cool off
洗冤,vindication,get sent to prison,baseless,be under arrest
取得,procure,procedure,brochure,profuse
外行的,uninitiated,crocus,barrow,report
一层梯田,terrace,terrain,trace,terra
赞美诗,hymn,hump,ham,horn
震耳欲聋,earsplitting,old ,sharp,tender
忌妒,jealousy,zealous,jealous,confidence
使虚弱,enervate,venerate,generate,elevate
一神论,theism,atheist,these,truism
(脸色)红润的,rubicund,quorum,raillery,genitals
绝不会错,infallible,fallible,trickster,paternity
禁止,interdict,to permit,visa,poll
批评性的分析,critique,armchair,trolleybus,wither
乐谱,score,scout,scare,slope
(表情)冷峻的,forbidding,creche,breakwater,underwear
前后一致,consistent,insistent,estate,thrift
碳水化合物,carbohydrate,amino,adverbial adjunct,factor
文人,literati,pale-faced scholar,painter,man of letters
不切实际,quixotic,very friendly,be unsuited to,fit
空隙,hiatus,status,heart,node
赤露,bare,sane,mere,rake
愚蠢,fatuity,act at one's discretion,to understand,valiant
宝石工,lapidary,nowhere,litigant,examine
分离,disjunctive,centralized,collapse,for a long time
模仿,mimicry,mimic,major,to read
快乐,blithe,kowtow,rapt,prostrate oneself
贬抑,abase,abuse,base,abash
仰卧,supine,spike,suite,spine
铁笔,stylus,status,stylish,style
悦耳的语音,euphony,loud,bullion,diary
反感,antipathy,favorable impression,ache,dislike
法规,statute,statue,saute,stature
讨价还价,haggle,wiggle,hassle,hale
贬低,debase,debate,depose,debar
不利,adverse,averse,advise,advertise
吞食,gulp,gulf,lump,gun
伪装,masquerade,outstanding,to breathe deeply,to gasp for breath
溅水,splashy,forehand,snipe,dissipate
一束(线或纱),skein,sheen,skin,stern
回顾,retrace,retract,refract,detract
幸存,survive,service,survival,surmise
厚脸皮的,brazen,craze,brace,craven
夸张法,hyperbole,batch,democracy,ruin
正式演说,oration,ovation,oblation,creation
熄灭(火),quench,punch,wrench,lunch
迫害,persecute,prosecute,step over,garrison
优雅,gracefully,vanity,good-looking,civilized
团结,solidarity,solidity,unmarried,directional
拘禁,intern,intend,lantern,astern
顺利,propitious,prodigious,persecute,dodge a pit only to fall into a well
人类学,anthropology,mathematic,anatomy,political science
不自然的,stagy,sightless,squall,convey
冒犯,transgress,there can never be too much deception in war,to gain by cheating,intertwine
附属,accessory,accessary,of the same age,real results
冲积,alluvial,spurt,distributed,to line up
碰撞,collision,collusion,coalition,have a chance encounter
前所未有,unprecedented,base,shocking,specialized
劝阻,dissuade,persuasion,to encourage,blame
违法,contravention,behead,to suppress,raven
固定形式,stereotype,underscore,storage,my
空气传播,airborne,airforce,compress,stress
壮丽,imposing,fresh,pretty and flirtatious,pretty
(使)无法呼吸,asphyxiate,asphyxia,calcify,pedagogy
坐落于,locate,allocate,placate,loath
契据,muniments,contract,factory regulations,constitution 
弄直,unbend,unkind,abend,unwind
防水油布,tarpaulin,laudable,euthanasia,unused
吹口哨,whistle,whittle,epistle,hustle
关键,crux,crib,cue,drum
有手腕的,politic,politick,politics,polemic
(船上用的)信号旗,pennant,pendant,pregnant,tenant
超然,detached,warmhearted,grim,deferent
吹嘘,vaunting,confrontation,tell a lie,boast
推延,defer,deform,deed,differ
古怪,erratic,erotic,erratum,clear
(心脏)急速而不规则地跳动,palpitate,capitate,palliate,without
使系统化,systematize,linoleum,flashy,monstrous
复兴,renaissance,poison,hurriedly,to make better
钦佩,admire,admiral,mire,dire
谋略,stratagem,plot,Five-Year Plan,maneuver
规律性,regularity,regularize,independence,suitability
处于停顿状态,standstill,expel,to relieve pain,stanch 
演戏,histrionic,concert,step down ,perform conjuring tricks
血友病,hemophilia,diphtheria,"bird flu" ,arteriosclerosis
不协调的,inconsonant,garment,etcetera,sangfroid
腐蚀性的,caustic,acoustic,cliff,orchard
咒骂,rail,awl,ray,Cal
有害,pestilent,facilitate,harmless,unfavorable
愚钝,crass,grassy,cross,brass
护身符,amulet,adult,ample,amuse
不威胁的,nonthreatening,wallet,plot,hiccup
斗争,conflict,convict,inflict,to  exile
肢(手或脚),limb,lab,lamb,lilt
温暖而舒适的,cosy,coy,cog,cos
陈规陋习,conventionality,rhyme,rule,banquet
排水沟,sewer,terrace,eaves,sewer
诉讼当事人,litigant,litigate,longbow,tangerine
宁静,tranquil,to carry out,hastily,pressing
阻止,debar,wear,rear,deter
重铸,recast,recess,repast,recall
狂热,mania,mamma,maniac,menial
丑闻,scandal,sandal,vandal,canal
身分,status,statue,stylus,static
无瑕疵的,unblemished,savage,saloon,linchpin
(在墙顶与天花板间起装饰作用的)横条,frieze,monopoly,brute,demist
熔解,smelt,cock,bane,inept
(吃甜食)生腻,cloy,spellbound,prodigious,insignia
损害,detrimental,harmful,to prevent,to surpass
钉牢,clinch,pinch,flinch,cliche
确定无罪,exonerate,decipher,spinach,champagne
拐杖,crutch,clutch,couch,wretch
沼泽地,marsh,march,mash,rash
驳斥,refute,refuge,repute,depute
产生,beget,beret,beet,beat
起回声,reverberate,quick results,renown,fame
使延迟,detain,retain,stain,detail
违抗,defiance,fiance,deface,defence
跛子,cripple,crumple,ripple,triple
持异议者,dissenter,conjugal,burn,confection
竞争者,contestant,effectual,investor,alkali
矫揉造作,theatrical,to pant,lazily,feign
悲伤,lament,talent,laden,latest
强烈,tangy,obscurity,useful,state in writing
即将过时,obsolescent,contractor,escalator,hindrance
自我贬低,self-deprecation,interpose,forceps,pedicab
长条,sliver,square ,gather up,gallon
复制本,facsimile,hypertext,specimen,original
具有肉体,incarnate,deform,domination,rink
专心致志,rapt,to puzzle,sag,thoughtless
憎恨,loathe,loath,lathe,leather
深恶,detest,defect,detente,dentist
不再流行,outmoded,conjugal,visionary,make
薪俸,stipend,pay,rent,duty
如天使般,seraphic,seductive,flirtatious,majestic
补偿,offset,outset,offer,onset
禁运令,embargo,embark,embryo,gather
嫁妆,dowry,dolly,dorm,gory
手枪皮套,holster,monster,bolster,holder
猛烈抨击,invective,incentive,inactive,inductive
庄重,sober,isobar,sneer,super
捣蛋,roguish,anguish,provoke,blessings
总数,summation,length ,span,short range
不朽,immortal,mortal,immoral,corruption
悲剧演员,tragedian,mutter,adrift,peter
湿度,humidity,temperature,air temperature,level
强夺,snatch,snack,latch,switch
要塞,fastness,Summer Palace ,desert,cemetery
消遣,diversion,version,inversion,dimension
用力举,heave,shelve,serve,heart
详述,rehearse,hearse,release,rehearsal
喜欢,rejoice,rejoin,spoil ,feel deeply attached to
彬彬有礼,courteous,bounteous,courageous,be sensitive about one's reputation
熔化,molten,zin-plating,distill,gilt
神学,theology,geology,ideology,politics
亲情,affection,affliction,infection,sexual relations
图解,diagram,to interpret,quote,indicate
水化物,hydrate,overall,mixture,prey
遗嘱执行人,executor,elector,execute,execution
胎儿,fetus,penis,testicle,vagina
燃烧,combustion,singe,burn down,growl
安慰,solace,slack,sole,lace
谈话,converse,convert,obverse,converge
累积,cumulative,cost,transfer money from|into an account,to spend
加速反应,activate,motivate,active,actuate
不适时的,untimely,unlikely,timely,eight
芦笋,asparagus,turnip,pumpkin,tomato
补助金,subvention,to  loan,compensation,to forfeit
努力赶上或超越,emulate,educate,adulate,simulate
衰退时期,recession,accession,procession,reception
侵略主义者,jingoist,prodigy,sugarcane,population
(医生、律师的)顾客,clientele,setback,sensuous,bantam
(尤用于生物学)适应,adaptation,high performance,acidity,toxicity
无瑕疵的,impeccable,implacable,attempt,storey
愚蠢的人,idiot,idol,riot,dirt
耻辱的标志,stigma,enigma,trophy,profit
地下室,cellar,collar,seller,pedlar
聪慧,sagacity,capacity,silly,strong
令人心碎,heartrending,vend,complement,toffee
唐突,brusque,intertwine,to invade and harass,there can never be too much deception in war
投入,plunge,purge,lunge,lung
婉言,euphemism,turn ,cunning,immoral
恶棍,ruffian,sage,evil person who commits crimes,evildoer
漠然,apathy,path,patchy,pithy
严格控制,regiment,regimen,regime,sediment
猫科,feline,fling,define,saline
发怒,bristle,brittle,bustle,gristle
难懂,elusive,exclusive,abusive,evasive
遭遇,encounter,counter,get a thrashing,as many as
如波浪般翻滚的,billowing,pugilist,moist,petulant
(轮廓等)清晰,definition,definitive,inkling,derogatory sense
显著,phenomenal,phenomenon,not turn a hair,legitimate
赎罪,atone,stone,tone,noone
机警,leery,silly,awkward in speech,intelligent
柱廊,colonnade,question,due,contingent
覆盖,mantle,candle,gentle,cattle
命令,enjoin,adjoin,join,enjoy
失职,delinquency,take the branch for the root,bring order out of chaos,lapse
朦胧,crepuscular,vicinity,stand in one's own light,go to the trouble of  traveling a long distance
(情绪)高涨,upsurge,overawe,unequal,lordly
事物接连发生的,consequent,narrate,shortly,weak
推进,impel,impede,imply,impale
(尤指鸟)叫出柔和的颤音,warble,wangle,garble,fable
运动,athletics,to drain,current,pour down
忽视,overlook,overwork,overload,sag
枯萎,blighted,to have the ears of grain come up,result,lame
解救,rescue,recur,resume,residue
急促而不清楚地说,gabble,gamble,dabble,gobble
骚乱,turbulence,take on action,pornographic,depression
废除(法律),repeal,retell,reveal,real
喧嚣,pandemonium,sporadic,tranquility,hysterical
嫩枝,sprig,spoil,spring,spree
产生胃酶,peptic,brute,lank,misty
不和谐(的音调),dissonance,dissonant,snappy,plateau
简朴,spartan,smarten,tartan,vanity
改变信仰的人,convert,cover,concern,covert
充满,fraught,draughty,fright,naught
充足,opulent,corpulent,extensive,lovely
祖先,ancestor,ancestry,investor,successor
启蒙书,primer,prime,prize,river
污水池,sinkhole,lessen,confer,crucial
(身体)强健的,sturdy,study,stormy,tardy
星座,constellation,Mars ,celestial body ,wing
民兵,militia,the Northern Expeditionary Army,special detachment,crusaders
母羊,ewe,rue,awe,eke
不整洁的,frowzy,frown,frosty,drowsy
断断续续,intermittent,clumsy birds have to start flying early - the slow need to start early,careless,make nothing of hardships
(学院)餐厅,refectory,refractory,bookstore,lunch room
骑士,cavalier,guard),puppet army,sergeant
中止,cessation,gestation,sensation,cession
使人入神,entrancing,equipment,loathsome,gullet
(人体的)躯干,torso,tiro,too,horse
讥讽,mordant,mordent,dormant,verdant
细察,scrutiny,motor,assessor,understate
变化,variation,radiation,carnation,vacation
无神论,atheism,romanticism,dialectical materialism,agnosticism
寓言,allegory,fiction,fairy tale,feature article
劫掠,depredation,to break the law,broken circuit,kidnap 
迅速,swift,shift,sweat,wit
用头抵撞,butt,duty,burst,bust
后勤学,logistics,sundown,absorb,rod
极小量,iota,cot,sofa,vote
隔离,segregate,aggregate,be pitted against each other,to conform
止血器,hemostat,holly,frivolous,eulogize
扣除...的一部分工资,dock,doom,shock,dog
愚昧,insanity,beyond cure,incapable,shallow
灰泥,plaster,clatter,planter,laser
误导,mislead,misread,mislay,misdeed
简洁,terse,purse,tyre,mere
支撑物,brace,trace,grace,breach
恶意,malice,calico,alike,police
编辑,compile,compiler,compote,compere
裁缝,tailor,sailor,tail,pallor
鹅群,gaggle,megaphone,disconnect,flax
失信,welsh,meet with,to meet,to put into practice
雪崩,avalanche,flop,to damage,fracture
以武力征服,conquer,confer,conjurer,concur
约定,stipulate,simulate,stimulate,invite
对某事物熟悉的,acquainted,diabolic,malaria,forefront
无脊椎的(动物),invertebrate,swop,commandeer,pleasure
有益,rewarding,sanctions,dominate,surpass
残余物,remnant,lapse,caprice,object
神经病患者,neurotic,erotic,neurosis,vein
温文尔雅,urbane,urban,bane,urine
怀孕,gestate,to fall ill,out of sorts,be down with an illness
强行引入,intrude,obtrude,interlude,include
越出常规,deviant,unborn,nail,igloo
促使,motivate,mitigate,activate,mutilate
辐射,radiant,valiant,radiate,variant
丧失物,forfeit,surfeit,forget,forest
粘着,adhere,admire,ampere,ashore
专题论文,dissertation,negotiable,import,compulsory
空洞,inane,nine,vane,irate
蓝图,blueprint,table,bandwidth,spectrum
苛求,finicky,desirous,seek,request
玩忽职守,malpractice,miss,to make right,haunt
拼贴画,collage,spectator,messenger,barley
民粹主义(消灭一切旧体系建立新制度),nihilism,pickings,noone,domain
再应用,recycle,cycle,bicycle,tricycle
小树林,grove,grope,grovel,probe
精华,elite,lie,bite,belie
探索,explore,explorer,explode,exploit
可观,considerable,interesting,blood-soaked,penetrating
术语,terminology,terminology,noun,numeral
冲动,impetuous,impetus,imperious,imaginings
