#word,meaning,option1,option2,option3
underestimate,低估,预测,猜测,出乎预料
toddle,(尤指幼儿)摇摇摆摆地走,认识,(使)腐烂,反冲
bamboo,竹类,用别针别住,音乐会,制剂
preoperative,外科手术前的,任何东西(事物),攻击,人人
combat,斗争,劳累,跑江湖,奔走
label,标签,宣言,便条,广告
flesh,肉,露出笑容,集团,提出
subtract,减去,补票,裁军,补遗
approximate,接近,例如,异步,南辕北辙
grind,磨,掠过,捕捞,板擦儿
fiction,小说,寓言,童话,神话
switch,电闸,电池,天线,电缆
hearing,听,箱子,烟灰缸,茶碗
equal,同辈,同步,同时,不相上下
squirt,溅迸,扎针,疫苗,防治
topsoil,表层土,钢笔,向后,以前
chap,家伙,皮鞭,鞭子,常规武器
junction,交汇处,定居点,起点,苏州
web,蜘蛛网,微波,吊钩,网络
symposium,座谈会,常委会,宴会,电话会议
fruition,成就,奉行,定稿,兑现
outlaw,逃犯,凶手,犯人,政治犯
entrenched,风俗等)确立的,处决,肯定,否定
Bible,圣经,文学,文献,经文
synthesis,综合,类比,分类,小结
exceed,超过(限度,下列,适应,比不上
export,出口,赘述,咕噜,打电话
bear,粗鲁的人,汽车,技术,开拓者
subdue,使屈服,获胜,失败,陷落
otherwise,否则,凡是,以便,只有
appreciable,可察觉的,叔父,长久,令人愉快
idle,懒惰,节约,断断续续,主动
exert,发挥,描写,暗示,表态
fleeting,短暂,长期,半天,成年
bitter,辛酸,阴郁,痛苦,担忧
diet,饮食,午餐,包饭,生计
address,地址,北海,马六甲,空白点
line,(使)排成行,麻雀,直接,考虑
depart,(火车等)开行,堆积,存在,各自
scurry,急跑,浅的,向北,启航
unravel,解开,安全带,拆散,松开
precarious,危险,大喜,哀鸿遍野,凄惨
nullify,使无效,多余,足够,节约
desert,离弃,可能,讨厌,宝贝儿
peculiar,奇怪,不够,忽然,不要
shrewd,聪明,糊涂,灵活性,脆弱
prosaic,单调,奇妙,例行,可怜
infect,传染,感染,带动,致使
feeble,虚弱,强大,英雄,稳健
negative,否定词,盖印,石头,囚犯
taboo,禁忌,叛国罪,纪律,国际法
cube,立方体,介面,圆锥体,界面
sediment,沉淀物,原生质,文物,金属
garbage,垃圾,豆渣,煤渣,宝贝
quandary,困惑,懂事,习惯,专心
inexorable,不为所动,百感交集,动心,绞尽脑汁
notion,打算,同谋,筹措,满足
ideal,理想,逼肖,高明,渺茫
peninsula,半岛,海滩,岛屿,暗滩
majority,多数,少数,一部分,稠密
turf,草皮,腱子,纤毛,不随意肌
option,选择,招致,采光,采集
aerodynamics,空气动力学,打耳光,聚集,材(原)料
proficiency,熟练,外行,不稂不莠,努力
respond,回答,夸大,对证,吹牛
indefinite,不定,景气,按兵不动,太平
desirable,称心如意,出名,糟糕,避坑落井
proficient,熟练,不可救药,努力,半路出家
rampant,蔓生,果断,不羁,浪荡
vent,孔、口,联系,解决,成果
identical,相同,属于,同年,步调一致
cruise,巡航,行驶,航行,宇航
provision,提供,供给,需要,相对
sole,独占,左右,责成,发表
mutter,咕哝,私语,谈话,赘述
demolish,拆除(建筑物等),过来,复苏,速决
profound,完全,有些,纯粹,大多
hub,轴心,螺丝钉,活塞,钉子
judgement,判决,判处,开庭,定案
impulse,推动,妨碍,杜绝,激励
patently,明白,查出,知悉,忘记
allegiance,忠诚,和约,狡猾,孝顺
whilst,当...的时候,小规模(经营)的,价值,光滑
dedicate,题词于(书)上,抄袭,举止,阵雨
disrupt,使混乱,枯躁,氧,公共
vernacular,本国语,活跃,湖泊,布告
delight,欣喜,狂喜,拜倒,叩头
mediate,调停,格式化,军备,改装
solicit,乞求,狡赖,试探,哀求
deceive,欺骗,欺瞒,兵不厌诈,包庇
alight,落下,伸缩,陨落,滑落
transition,变迁,衍变,渐变,多变
speciality,名产,容器,纺织品,出产
revive,(使)复活,让,青年们,乐意
manacle,镣铐,板子,台灯,枷
excess,超过,有利,不可逾越,限于
generate,使发生,西班牙(欧洲),要点,失踪
clasp,扣紧,其次,一排房屋,(花瓶、茶杯的)衬垫
avoid,避免,以免,防水,得出
strain,紧张,惭愧,安慰,安然
distend,（使）膨胀,湍滩,半圆形体,祷告
disc,圆盘,机器人,茶具,硬盘
pin,胸针,(经)过,管理人员,报刊
rendezvous,约会地点,调情,求婚,追求
territorial,土,封地,疆界,基地
cervix,颈部,肩膀,胸膛,怀抱
property,特性,差别,弊病,利害
circus,马戏团,戏院,俱乐部,报社
surgery,外科,难题,财会,练习
practical,实际,不妨,毕竟,果然
dynamite,炸药,地雷,炸弹,箭
plausible,似乎合理,全部,游戏的伙伴,行为
band,缚,扣,上身,装入
hierarchy,等级制度,沸腾,击败,野兽
counsel,忠告,报数,报喜,报时
equivocal,意义含糊,网,嗥,火苗
glue,胶,钢笔,黑板,摁钉儿
clam,蛤,爆裂,带来,获悉
spoil,损坏,破裂,滑落,打破
vice,缺点,裨益,优点,私利
locomotive,机车,小汽车,跑车,绷带
panorama,全景,现象,古迹,蜃景
placard,布告,字帖,报单,广告
abandon,遗弃,弃权,舍命,断送
allude,间接提到,鼓励,人,牢牢
tarnish,失去光泽,背阴,灿烂,朦胧
orthodox,正统,半公开,外来,原始
lucid,透明,清楚,遥遥,朦胧
colonial,殖民地的,打孔,推理,来
bolt,插销,电缆,专线,天线
spouse,配偶,并蒂莲,老两口,哥哥
cane,用笞杖打,姑娘,响亮,放
foam,(使)起泡沫,问,憔悴,建立
doubtless,很可能,…的,使发怒,刃
suppress,查禁,调查,批准,打印
intricate,复杂难懂,讯问,不管,论文
anchor,锚,户主,厂主,学徒
seemingly,表面上,奇怪,颤抖,有病
fend,保护,侍候,照料,保镖
invariably,不变,勉强,回旋,板滞
notary,公证人,原告,保证人,见证人
burglar,夜盗,束缚,祖母,空间
elastic,橡皮圈,滚筒,薄片,洞窟
legitimate,使合法,妹,坡,有礼貌的
influence,影响,震动,轰动,相关
cramp,铁箍,路由器,食槽,水槽
subsequent,继…之后,是,衰败,恶化
flake,肌膈,唇状构造,家族,一场雨
explosion,爆炸,叮当,燃烧,烧毁
commitment,承担义务,回绝,谈判,容许
affect,影响,震动,提到,轰动
gene,基因,八卦,吒,帽子
boast,夸耀,摆摊子,寻衅,伪托
terrain,地形,三角形,身材,多角形
torment,折磨,尴尬,得意,罢官
perceptible,可以感觉到的,体现,预兆,显示
textile,纺织品,特产,矿产,复制品
tornado,飓风,和风,疾风,东风
controversial,引起争论,(特定领域的)巨子,呼吸,多云
detective,侦探,检察,追查,核查
fake,伪造,伪托,摆样子,摆阔
psychological,心理(上)的,脆弱,乘,一半
medium,媒介物,恢复,招待,其次
burial,埋葬,音信,敏捷,教导(训)
repudiate,拒绝,回绝,归咎,答应
execute,实施,吸毒,颁行,建设
sympathetic,赞同,拥戴,可以,半信半疑
flap,拍动,银色,合理,意志
vacuum,真空,西部,数位,泊位
dubious,令人怀疑,确信,认真,半信半疑
vaccine,牛痘苗,经常,翎毛,工业
absurd,荒诞,笔误,严密,百无一失
innocuous,（行为,标致,队长,认错
misery,痛苦,凄惨,大快人心,悲伤
deprive,剥夺,处决,斩首,放逐
minor,较小,宣判,计划,日期
impose,把…强加于,数百万,谋划,顶点
fidget,烦躁之人,领导,取缔,使挨饿
pimple,面泡,在(分类上)属,学业,成果
prejudice,偏见,异议,政见,共识
temptation,迷人之物,插头,失败,会议记录
invest,投资,交易,进出口,输入
tremble,颤抖,失足,栽跟头,跌倒
frantic,疯狂,昏迷,麻木,窒息
economic,经济学的,摆动,压制某人,认出
architect,缔造者,议长,武官,名人
thigh,股,艘,枝,扇
prophecy,预言,千克,经常,老虎
pasture,牲畜饲养,牵引车,已经,人们
pursue,继续,重复,半途而废,断奶
alter,改变,现代化,情绪化,简单化
tantalize,挑惹,诱惑,过不去,玩弄
bruise,青肿,痕迹,笔迹,斑点
ranking,名次,日程,议程,版次
grieve,悲伤,拜倒,悲喜交集,悲壮
garment,衣服,斗篷,长袍,哔叽
variegated,斑驳,臭味,花哨,芳香
arch,桥洞,窗子,天安门,阎
role,角色,区区,群体,个人
muster,召集,指令,宣传,揭示
stimulate,刺激,拔苗助长,范围,妨碍
conscious,有意,随便,不择手段,痛快
rhythm,有规律的循环运动,使…免去,油漆业,同意
postpone,推迟,加快,安定,巩固
zeal,热情,客气,冰冷,爱面子
blindfold,眼罩,床垫,跑表,丧钟
ribbon,条带,松紧带,胶带,袜带
acquire,养成(习惯),一阵,(十三至十九岁的)青少年,砰地敲
degenerate,退步,昂首阔步,奉行,进化
doze,打盹,睡着,嗷嗷待哺,冬眠
article,冠词,战舰,(由葡萄等制成的)水果酒,栩栩如生
caravan,拖车,计程车,客车,电车
smother,覆盖,露出,突出,赤裸裸
mercenary,雇佣兵,核能,(用特殊记号)标出(某物,经过
configuration,轮廓,洪流,来历,端详
light,点燃,生火,熨,加热
rim,镶边于,爸爸,毁坏,听觉
sparkle,发火花,散射,辐射,衍射
recede,后退,履行,提高,昂首阔步
conversion,转换,变形,交换,变相
solemn,严肃,无助,混杂,神经过敏
chisel,凿子,刀口,铲子,刨刀
bump,碰撞,润滑,着,不期而遇
layman,凡俗者,骨干,制作者,高明
disentangle,松开,糊,拆卸,解开
indignant,愤慨,忧郁,得意,赌气
render,表演,对症下药,武打,变戏法
brink,（峭壁的）边沿,刚性,感性,历史性
fuel,刺激,兴奋,范围,妨碍
debtor,债务人,乞丐,无辜,财主
escalator,自动扶梯,为…辩解,主人,想法
tide,潮,闪电,水,暴洪
cocaine,可卡因,鸦片,白面儿,毒药
studio,(摄影、雕刻等)工作室,人民大会堂,病房,蜂房
thumb,拇指,手指,手腕,食指
worship,崇拜,信服,向往,不服
cavity,腔,亲自,有色,多方面的
vocational,职业,工程,核工程,中保
pause,暂停,并举,停车,开展
cordial,真诚,随和,虚伪,狡猾
tragedy,悲惨之事,邮政,激动,提前
jam,果酱,油脂,池盐,酱油
turbot,比目鱼之类,缺口,回报,实验室
interact,相互作用,反响,速效,发酵
vessel,船只,出租车,货车,公共汽车
prey,猎物,介质,整体,金属
imaginative,富有想象力的,上演,电影业,回
presumably,推测上,也许,有时候,人寿保险
empirical,经验主义,无神论,法理,辩证唯物主义
preliminary,初步,着手,开学,启动
device,谋略,五年计划,毒计,打算
clan,氏族,大家,家族,人家
soluble,可以解决,听力,触到,所有制
potent,有力,衰弱,粗劣,轻微
knob,旋纽,白蜡,缰绳,摁扣儿
Fahrenheit,华氏,一点也不,突然一阵(雨、烟等),同情
session,会议,研讨会,国会,分会
ceramic,陶器,装备,食槽,警报器
sensitive,敏感,胆小,明白,睿智
audiovisual,视听,倾听,听说,听取
captive,俘虏,撤退,虏获,摧毁
occupational,职业,核工程,工作,工程
dazzle,眩惑,欺瞒,欺骗,任凭
prerequisite,先决条件,生态,前提,阻尼
conjunction,连接词,宁可,(美)好,想知道
gap,缺口,门口,出入口,隘口
filament,长丝,布线,平底锅,毛线
carpentry,木工,裁缝,短工,劳工
kit,随身携带物,欢乐,磁带,向东
prolific,多产,一举两得,开头,经济
proposition,主张、建议,气息,其他,(欧洲公国的)君主
amalgamate,合并,别离,未婚,三位一体
lunar,月球,太阳黑子,太阳,地球
vigorous,精力充沛,严重,在今天,(正式)会议
decline,衰落,是,当作,勃兴
behalf,利益,优点,缺点,弊病
feature,五官之一,景色,非常,田野
trial,试验,期考,实验,栽培
aircraft,飞艇,飞机,独木舟,滑翔机
stock,(商品)存货,医学,阳光充足,一个月的时间
crystal,水晶,烃,硫磺,白磷
tutor,教,启发,唤醒,函授
sack,解雇,罢免,交接,办公
divert,使转向,监视人,当地人,禁令
jagged,锯齿状的,观光,稳定,用过
grit,下定决心,从容不迫,如饥似渴,迫切
get,感染(疾病),关闭,实在,祖宗
fury,愤怒,赌气,憋气,大发雷霆
reputable,名誉好的,五(个,一切,(错误地或无根据地)以为
column,直行,约定,伸,大厅
melancholy,悲伤,大快人心,悲痛,不亦乐乎
granule,小粒,把子,核反应堆,波束
illegal,不合法的,可疑,秘密,有用
despatch,派遣,改组,解调,分配
enlighten,启发,函授,授受,示范
vertical,垂直,骨头架子,憔悴,平行
nuance,细微的差异,光辉,精巧,(文章)段落
sledge,雪橇,滑翔机,舵,班机
instantaneous,瞬间,一会儿,冰天雪地,暂时
pitfall,陷阱,途径,长征,约束
novice,初学者,大学生,高中生,大中学生
beat,打败,胜过,胜利,沦陷
booth,(集市上的)货摊,上演,蜂,微量
funnel,漏斗形物,二,在(到,庙宇
motion,提议,议论,呼唤,召回
transcript,抄本,样本,月历,版本
turmoil,混乱,肮脏,失调,卫生
belly,(像肚子一样)鼓起的部分,层,身,帮
invert,颠倒,罗列,吊装,摆设
stand,放置,耸立,断头,吊装
communication,通讯,记录,笔记,编年史
lobby,门厅,病房,衣帽间,地下室
cylinder,圆筒,洞窟,薄片,芯片
consumer,用户,无产阶级,共产党,户头
prosperous,繁荣,太平,薄情,平静
asymmetric,不对称的,显示出...与...联系,粉末,盘)
compel,强迫,勉强,强制,播弄
chasm,冰上的)隐窟,久远,美式足球,鸣
degrade,使降给,发觉,为了,假装
exaggerate,夸张,标榜,吹牛,遮掩
native,本地人,职工,殖民,干部
singular,独特,可以,独树一帜,及格
savage,野人,世人,祖先,猿人
contradict,反驳,争执,狡辩,雄辩
scissors,剪子,刀口,板斧,斧头
compute,估计,臆测,预料,猜测
alliance,同盟,不结盟,搭伴,集团
gaol,使…坐牢,出席,土地,普遍
repertoire,（剧团等）常备剧目,全套炊具,动身,笑话
attractive,漂亮,逼真,捕风捉影,渺茫
liable,有…倾向,一群,修理工作,幸运
intuition,直觉,酸痛,遥感,情感
thermostat,自动调温器,范围,领悟,射门
centenary,一百年,警戒,留下,在传播
consensus,一致同意,遗产,异议,偏见
commotion,骚动,安定,扰乱,太平
headstrong,刚愎,对答如流,高明,眼尖
lace,饰边,缔结,钥匙,提出
benefit,救济金,价款,奖金,捐款
might,请,不用,必须,不足
kidnap,诱拐(小孩),赦免,断路,掠夺
crown,给…加冕,在全国范围内,电视,没有被预订的
gasp,喘息,屏息,假装,喘气
tedious,冗长乏味,暴跳如雷,愤慨,得意
stubborn,顽固,敏感,无所不能,对答如流
timber,木材,铁锈,木制,铅
reliant,信赖,拥戴,难以置信,认真
elderly,上了年纪,广泛,提供,发音方法
automation,自动化,雌雄,鄙陋,精制
inspiring,鼓舞人心,固定装置,预备,彻底
bulge,膨胀,改组,收缩,改编
discreet,慎重,浪费,密切,耐心
commit,把…托付给,孝敬,预付,呈
compensate,弥补,补票,加油,加宽
overrun,超越误差,谁也不,搁板,专门
dorsal,背部,马背,奶子,腰部
cite,引用,说明,标点,注解
nautical,船员,舵手,刨工,帮工
odour,味道,本事,意思,诗意
console,悬臂,悬垂,赤裸裸,悬
customary,通常,合格,别出心裁,突出
paradise,天堂,恶鬼,怪物,风水
furrow,犁沟,波纹,条纹,煤灰
constrain,约束,制约,杜绝,操纵
supposition,猜想,预期,臆测,渴望
electronics,电子学,科技,医学,科研
scant,不足,剩余,动态平衡,缺少
notoriety,臭名昭彰,丢人,进退两难,罢官
certificate,证书,护照,报单,选票
terrestrial,球,发疯,手段,最好
crisp,爽快,轻松,合意,安心
demanding,要求高的,惦念,追求,谋求
bizarre,古怪,乏味,机密,不知所云
phosphor,磷,北斗星,星体,火星
brilliant,卓越,不善,不拘一格,空前
sigh,叹息,感叹,哀叹,目瞪口呆
facet,方面,系统,领域,波段
generic,种类的、类属的,需要的东西,合作,哭诉
eligible,合适,不违农时,义务,无效
rot,(使)腐烂,裁判,给予(某人)荣誉,氧
scold,责骂,骂,咒骂,竞争
bald,明显,不明,暗暗,不法
crucial,关键,开玩笑,不要紧,高昂
convenience,有益的工具,正规(式)的,寓意,原子核的
invalid,有病,不快,不安,性交
extinct,濒临灭绝,冷淡,现在,编织针
sanction,认可,公认,抨击,干涉
foresee,预见,异议,眼光,主意
dismay,惊讶,吃不服,大惊失色,余悸
antagonism,对抗,隔离,失效,衬托
starch,浆糊,信封,摁钉儿,文具
formulate,明确表达,促进,结果是,考虑
hostage,人质,俘虏,乘客,行人
premium,额外费用,赤字,损耗,剩余
passion,大怒,兵不厌诈,纠缠,侵扰
bookstall,书报摊,奶牛场,餐馆,分号
panic,(使)恐慌,旅游,到达,搏动
series,系列,微不足道,多糖,不乏
persistent,坚持,主持,臆测,公认
schedule,计划,不平,遗憾,策划
vanquish,征服,沦陷,打败,覆没
pry,打听,呼吁,哀告,否定
leave,留下,遗留,在于,共处
excel,杰出,不拘一格,不像话,粗劣
quantitative,数量,短程,总额,余数
rack,架,书架,被褥,屏风
spare,节省,平衡,浪费,抽出
suspect,可疑分子,罪犯,凶手,土匪
previous,先,上星期,前面,今晨
centennial,百年纪念,机灵,密,吞
medal,勋章,臂章,瑞香,徽章
tenable,站得住脚,具体,百步穿杨,科学
foster,抱着(希望),想,夹入,他(她、它)们的
devour,吞食,咀嚼,喝,舔
impart,给予,促使,使得,致死
consonant,辅音,擦音,元音,回声
erosion,腐蚀,剥蚀,报仇,报恩
tinge,给……染色,不错,手册,后来
journal,日记,编年史,报导,特写
magnate,财主,孤儿,债权人,债务人
