#word,meaning,option1,option2,option3
重新点燃,rekindle,chafe,labyrinth,promotion
使同步,synchronize,takings,immaculate,vengeful
未下定义,undefined,twang,localize,success
松树,pine,spine,none,hind
芭蕾舞女演员,ballerina,loser,shudder,masquerade
转折点,milestone,limestone,millstone,leisure
乏味,insipid,routine,laughable,queer
松软,floppy,sloppy,flop,poppy
颤动,tremulous,aftershocks,whirl,to pulse
猪的,porcine,lexicon,aubergine,giant
荒唐可笑,ludicrous,judicious,vexatious,front
活门,valve,salve,calve,halve
全体共用,communal,commune,get a thrashing,to enjoy 
沉默不语,reticent,resident,regiment,recent
变松,loosen,moose,louse,woolen
有说服力,cogent,cent,client,urgent
误解,misperceive,unknown,worth hearing a hundred times,chew
愚蠢的行为,folly,holly,jolly,dolly
雀科鸣禽(如燕雀、金丝雀等),finch,salty,pretty,glut
刁滑,deviousness,faithful,hearty,turn 
道歉,apologize,analogize,reward,to yield
石灰岩,limestone,milestone,lodestone,granite
砌砖盖房者,bricklayer,master,seasonal laborer,gardener
好战者,warmonger,clergy,butcher,White bandits
奉承,fawning,surrender,shield,tame
高架桥,viaduct,oviduct,arable land,temporary bridge
(高位的人)否决(低位的人或事),overrule,overture,override,overdue
洁净,immaculate,silly,stately,pollution
粘上,affix,suffix,affair,affirm
本质,essence,absence,cornerstone,upland
悲伤,woeful,mixed feelings of grief and joy,jubilation,miserable
发辫,plait,hair ,wig,blond
发呆,vacuous,vicious,vacuum,various
定向,orientation,"Unity of will is an impregnable stronghold" ,to go into effect,unmarried
野兽,bestial,bestir,festival,panda
歌剧中的女主角,diva,jacket,redound,cramp
船舵,rudder,ruler,redden,runner
彗星,comet,comic,covert,cover
激怒,rile,agile,vile,rife
抑制,repress,regress,depress,empress
无伸缩性,inelastic,wattle,inflate,ermine
麻疹,measles,measly,heart disease,leukemia
暗指,insinuate,insensate,to record,to state
不引人注目的,unobtrusive,singular,kitty,haw
未婚女人,spinster,crepe,bless,wily
散布(谣言),bruit,helpmate,mop,commitment
显微镜,microscope,microscope,telescope,mirror
畏缩,flinch,lynch,clinch,blench
相互影响,interplay,rectitude,huge,up
多样,multiple,multiply,extensive,all
犬的,canine,marine,carmine,cosine
星球的光亮度,magnitude,epileptic,titter,rib
哀歌、挽歌,elegy,clergy,every,leg
清真寺(伊斯兰教的寺庙),mosque,torque,me,shop
严行纪律的人,disciplinarian,Christ,rotten,aura
氧化,oxidize,oxide,sentimental,to maximize
年轻无经验的人,cub,sub,cup,scum
长凳,bench,belch,hunch,each
令人振奋,bracing,trillion,carp,pause
残酷,cold-blooded,sin,sinister,humanity
细浪,ripple,riddle,simple,nipple
奖品,trophy,trashy,tropic,something given as a token
慷慨,generous,onerous,polite,petty
传染(病),contagion,contagious,contain,grisly
烦忧,nettle,little,nestle,kettle
贝壳,shell,shelf,shall,sell
音乐学者,musicologist,heartburn,posture,enlarge
化名,alias,liar,alms,alas
一针见血,incisive,incise,decisive,inclusive
假装,feigned,to take a breather,lazily,hold one's breath
机警,vigilant,vigilance,ignorant,be smooth and slick 
碎片,fragment,figment,fragrant,raiment
借口,pretext,protect,pretend,precept
无尽头的,interminable,module,adversity,accuse
辞职,resign,resin,design,resist
吹嘘,vaunt,vain,vacant,valet
祖宗,forebear,father's younger brother,peer,successor
不喜欢,disfavor,floor,successful,tile
削减,curtail,certain,curtain,widen
所有物,belongings,real estate,marked price,half price
弱小,puny,pin,play,run
农学,agronomy,philosophy,engineering,geometry
沉默寡言,taciturn,to excite,stun,not say a word
礼节,propriety,proprietor,to be used to,opening ceremony
波动,undulate,adulate,insulate,modulate
表明...是正当的,justify,testify,mystify,justice
威风,magisterial,forceful,coarse,frail
扣押,sequestrate,to frisk,to capture,hunt and arrest 
畸齿矫正学,orthodontics,shrink,compare,homework
反驳,retort,report,reform,deport
有派性的,factious,flay,outlying,payee
支持或证实,corroborate,stimulus,infinite,workaday
内讧,internecine,challenge,send troops,fight with one's back to the river - fight to win or die
秘密,secret,regret,secrete,sachet
施肥,fertilize,fertilizer,fertile,fertility
传送,transmit,transit,transact,transfix
桦树,birch,deceit,recite,jitter
经受住,withstand,washstand,finicky,phonetics
家属,kin,kid,skin,fen
(皮肤等)黝黑的,swarthy,wiggle,carbon,bishop
繁多,manifold,in riotous profusion,insignificant,few
背书,endorse,endure,encore,enforce
家庭生活,domesticity,spoil,misfortune,weakness
佯攻,feint,faint,flit,vein
媚人,winsome,income,extensive,narrow
卖弄风情的女子,coquette,witticism,orange,earphone
自由自在,footloose,comfort,to intend,to plan
加在上面,superimpose,television,strong,lingua
水手,mariner,marine,marker,garner
干皱,wizened,jade,pomp,acquiesce
牛轭,yoke,poke,dole,coke
举止粗野的人,boor,intone,abeyance,spindly
旋律,melody,malady,moody,memory
被动性,passivity,despatch,badminton,catalyst
财产,asset,assert,onset,assent
袖边,hem,home,pen,shed
欺骗,fraudulent,to deceive,to kiss up to,shield
内爆,implode,shortened or commuted  sentence,to lay off employees,subtract
(银河)星群,galaxy,malady,salary,gala
活力,dashing,labor force,financial resources,force
过分,exorbitant,more,more than,trifling
颂扬,eulogistic,desert,tease,against ones will or feelings
岩石雕刻,petroglyph,gad,neurosis,ferment
糖精,saccharin,light refreshments,dessert,maize or millet pancake
诱入陷阱,ensnare,nonstick,analgesic,southern
伤亡事故,casualty,casual,bloodshot,initial
重现,recurrence,recurrent,occurrence,to bring about
站姿,stance,convey,submerge,blossom
(光和声)柔和的,subdued,weak,improve,transportation
相反,inverse,unversed,invert,obverse
露齿而笑,grin,grill,grid,gin
修剪,clip,lop,clap,flip
组织系统中的等级,echelon,schismatic,bigamy,replicate
听力所及范围,earshot,herd,sophist,sidewalk
不幸,untoward,out of the frying pan into the fire,lucky,break out
有钱有势的企业家,tycoon,cocoon,typhoon,Hertz
口角,spat,hoot,damn,beat up
有恶臭的,fetid,fluid,tepid,betide
摇晃,falter,farmer,caller,latter
文雅,polished,indifferent,to value,hasty
受感染的,septic,carry out,make more widespread,to move forward 
危急关头,exigency,clarinet,navigator,famous
蜂房,hive,hie,aide,live
拘禁,internment,imprison,testimony,extort a confession
高射炮,flak,salvo,pistol,ammunition
松懈,slack,back,lock,slick
翻新,renovate,innovate,grasp,worsen
小官,functionary,overlap,blancmange,eliminate
孔隙,aperture,overture,perjure,perturb
易激怒的,inflammable,imitative,handsome,antibiotic
奠酒(给神献酒),libation,flake,recitation,amp
(长形物体的)逐渐变细,taper,taker,caper,tape
发霉,musty,dusty,mist,crusty
蜿蜒,sinuous,tenuous,sensuous,charm
剧情说明书,scenario,biography,{CL 篇},children's fairy tales
滴酒不沾,teetotal,coverlet,hinder,wood
收养,adopt,adroit,adept,aloft
好享乐的,epicurean,intoxicate,plate,abut
简洁,compendious,soft,frozen stiff,scattered
鲁莽,impudent,superficial,weighing every word,verily
古文字学,paleography,kinsfolk,copula,habitable
滔滔不绝的说话者,gusher,dustbowl,destiny,eccentric
探索,probe,robe,prate,prose
被挖掘之洞,excavation,pliers,to break with both hands,mangle
放逐,ostracize,to operate on or to be operated on,execute ,deprive
死路,impasse,impale,impose,impulse
有罪,culpable,capable,curable,palpable
处罚,penalize,finalize,canalize,realize
教条,dogma,be smooth and slick ,slow ,stiff
难以克服,insuperable,trailer,debt,cocktail
误用,misuse,minus,disuse,mouse
不同,diverse,diver,obverse,diverge
肯定,positiveness,along with,no longer,once more
不可弯曲,inflexible,flexible,mechanic,gale
衰落,decadence,decadent,cadence,treat as
轮轴(连接两个车轮的轴),axle,addle,bale,aide
轻视,disdain,to throw away,discrimination ,lay equal stress on
逐出,dislodge,to relieve pain,be at a standstill,extinguish
向阳植物,heliotrope,bloody,lineage,summon
不遵照传统生活的(人),nonconformist,grille,broach,resonant
理发师的,tonsorial,calm  the nerves,take a tonic or nourishing food to build up one's health,pleasantly cool
(有共同兴趣的)小团体,coterie,wolf,cagoule,promise
喧闹,hurly-burly,scattered,quiet,hysterical
衬垫,padding,mat,curtain,mattress
切断,sever,fever,peer,seven
浮肿,turgid,digestive,analgesic,to have diarrhea
盛行,prevailing,rumor,get round fast,be linked
呻吟,groan,iron,broad,grope
首要,primacy,privacy,primary,prima
淘气,puckish,filial piety,solemnity,pessimistic
平底货船,barge,barred,badge,bilge
咒语,imprecation,prophecy,point out,Proverbs
狂欢,revelry,rivalry,revert,revere
祖先,progenitor,people,successor,descendant
杀,slay,slap,splay,lag
掠过,flit,flat,fling,whit
诅咒,anathema,scold,abuse,strife
未掺杂的,unalloyed,half,entire,simply
发微光,glimmer,glitter,shimmer,climber
休息,recumbent,recurrent,incumbent,help relieve 
毛细血管,capillary,artery,artery,lifeline
卖国贼,traitor,tailor,tractor,orator
可容许的,admissible,etymology,perception,sack
遗弃,forsake,forage,to forfeit,to risk one's life
使固体溶解,dissolve,dissolute,obstacle,thousand
特殊癖性或行为,idiosyncrasy,weeping,purloin,cap
直率,blunt,haunt,punt,shunt
凌辱,hector,seduce,extract,to draw into
造作,pose,lose,ooze,polo
轻声地笑,chuckle,shackle,cackle,buckle
遗传学家,geneticist,man of letters,critic,scholar
动摇,wobble,hobble,nibble,pebble
组织,formation,oration,member of standing committee,committee
显要人物,dignitary,dignity,dependable,inhumanity
消音器,muffler,suffer,muffle,duffle
反话,irony,ion,cony,crony
文盲,illiterate,obliterate,literate,critic
制服,overpower,Chinese tunic suit,bathing suit,bathrobe
防水胶布,mackintosh,nope,misery,active
满怀嫉妒,envious,obvious,anxious,devious
扼要重述,recapitulate,misapply,operative,streaky
博爱,philanthropic,love and hate,have a gnawing regret,favor
欢唱,carol,gaol,carve,call
缝合,stitch,pitch,snatch,switch
重步走,plod,prod,pro,good
枯萎,shrivel,swivel,drivel,shrill
反对,deprecate,depreciate,to support ,tendency
(人)强壮的,brawny,indoor,muff,astute
猎鹰,falcon,salon,bacon,gallon
省略,ellipsis,ellipse,elliptic,detailed
喷出,eject,erect,sect,effect
不赞同,disapproval,to put up with,to back,love and esteem
浪费,profusion,propulsion,profession,provision
使崩溃,disaggregate,investment,mesh,executive
(天气)闷热而潮湿的,muggy,tiresome,lip,armament
咒骂,execrate,execute,excrete,execrable
没有偏见,unbiased,cranky,gleam,reversible
退步,regressive,construction,issue for enforcement,gradual progress
虔诚,piety,nicety,city,fifty
饥饿,starvation,salvation,hibernation,thirst
功能失调,disfunctional,sisterly,slot,aspen
长队,queue,quake,quest,quire
妨碍,stymie,arouse,in addition,impel
脾气坏的,crotchety,collector,dog,probity
引起极大兴趣,intrigue,apprise,custom,dividend
肿瘤学家,oncologist,disservice,grapple,cub
讣闻,obituary,declaration,to advertise,announcement
记忆中的往事,recollection,compost,jeep,lord
城墙,rampart,enclosure,cylinder,tree stump
妨碍物,encumbrance,purely,short-duration,complex
恳求,entreat,to participate ,to find a path,my presumptuous request
爱抚或抚摸某人,caress,cress,care,egress
敲击乐器乐师,percussionist,wringer,basic,slander
斥责,upbraid,braid,take the blame,denounce
过度,inordinate,least,many,even though
艰苦劳动,travail,to the satisfaction of everyone,grief and indignation,mixed feelings of grief and joy
使成整体,integrate,integrity,intestate,integral
综合症状,syndrome,calculator,powerless,scientific
大破坏,havoc,halo,favor,have
媚眼,ogle,leap,multiple,humble
羽毛,plume,plump,plumb,lump
揭穿真相,debunk,fall apart,closed doors,fall through and stand exposed
愚昧而不自知的,fatuous,famous,vacuous,fabulous
发现,unearth,earth,unearthly,dearth
竞争,rivalry,ribaldry,rival,cavalry
诱惑力,glitter,litter,glisten,fritter
修道院,cloister,canister,loiter,cluster
反驳,rebuttal,try to defend oneself,written polemics,to discuss
航海,navigate,navigator,navigable,cruise
称赞,approbation,boycott,fig.: wonderful!,unconstitutional
绞刑架,gallows,gallop,gallon,fallow
愤世嫉俗,cynicism,plaintive,to yearn for,feel wronged
难以置信,implausible,to accept sth. as true,confident,superstition
陷入困境,morass,moral,mores,crass
缺点,defect,detect,affect,deflect
长篇累牍,windy,tiny,witty,weedy
轻率,levity,deity,laity,brevity
使习惯于,habituate,habitual,habitat,pawnshop
沉闷,dreary,dream,dread,dreamy
令人捧腹大笑的,sidesplitting,bombshell,factorship,womanish
下狱,incarcerate,wash,be under arrest,to be made a scapegoat
阁楼,loft,lift,loin,lot
紧急事件,emergency,emergent,emergence,foal
轻舟,skiff,spaceship,large wheel,lighter
压倒性的,overpowering,projector,notebook,lance
欺骗,beguile,guile,to fawn on,to fool
不高兴的,dyspeptic,ardour,foxhound,mere
不溶解的,insoluble,soluble,idealize,summer
勇气,mettle,tattle,kettle,little
清除,disposal,dispose,brush,cause to perish
变小,diminish,foggy,kinship,singsong
暴躁,crabbed,fervent,false,tame
使随机化,randomize,snobbish,botany,herbage
健壮,robust,rust,locust,oust
天空,empyrean,surroundings,opposite,space
萎缩,atrophy,can still be considered,decay,beginning or continuing an action
迟钝,dull,hull,null,dolt
平淡无奇,corny,upper class,mid,center
吝啬,miserly,extend ,democracy,revolution
(指毛发或衣服)凌乱的,disheveled,reckon,foundry,granite
操舵,steer,queer,esteem,tear
依偎,nestle,hustle,bustle,mettle
磨刀石,grindstone,to plaster,funnel,wrench
坚忍,persevere,cowardice,bold and decisive,custom
事件,occurrence,recurrence,defense,risk
成分,ingredient,predicative,complement,adverbial adjunct
(使)腐烂,decompose,discompose,compose,flammable
净化,purification,nervous,filthy,miserable
附加物,adjunct,map,white paper,motion
没有希望,gloomy,gloom,bloody,goody
做作,mincing,to pant,hold one's breath,to gasp for breath
预备演员,understudy,pincers,papist,ledger
慷慨,liberality,liberalize,miser,let bygones be bygones
假装,feign,beige,align,deign
阴郁,morose,gorse,noose,morass
专技,expertise,exercise,pliers,payload
陈列品,showpiece,enclosure,sample,spare parts
无,nil,sill,veil,nail
河马,hippopotamus,dolphin,lizard,viper
前提,premise,promise,precise,remiss
监管,custody,custom,director,privately-owned
卑躬屈膝者,lackey,lack,hockey,lanky
不禁止的,licit,in a moment,secretly,illegal
热量计,calorimeter,dislocate,dustcart,quiescent
战胜,prevail,retail,quick decision,quench
不加选择,indiscriminate,gutter,servant,rarely
文字以前,preliterate,bachelor,knot,earthly
敏捷,brisk,brink,frisk,disk
间接,oblique,oblige,obloquy,clique
台风,typhoon,tycoon,east wind,ice floe
性急,petulant,patient ,barbarous,culture
度假胜地,resort,retort,revolt,resent
缺口,breach,reach,preach,bleach
加强防卫,fortify,mortify,forty,notify
琐碎,niggling,overlapping,symmetry,queer
规避,evade,shade,decade,vase
(马)普通速度跑,canter,banter,cancel,planter
短暂,temporary,temporal,temporary,a while
